tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output,arp_loss_rate,icmp_loss_rate,igmpv2_loss_rate,host_packet_loss_rate
_fixed_all_128,2074,13,-5.341211537935883,5213667,0.7448095714285714,0.00572766634397431,128,128,128,128,128,128,128,128,0.801953601953602,0.816394779771615,0,0.8160600620205647
_fixed_all_128,2074,14,-5.329474648331759,5225695,0.7465278571428572,0.005710011890186476,128,128,128,128,128,128,128,128,0.8004393101204035,0.8148993397994947,0,0.8150623522699486
_fixed_all_128,2074,15,-5.448727693208987,4300167,0.6143095714285715,0.005790656414210647,128,128,128,128,128,128,128,128,0.7943262411347518,0.8130657221566312,0.0016754662229464022,0.816147476340694
_fixed_all_128,2074,16,-5.324660942033564,5164605,0.7378007142857143,0.005791627954068992,128,128,128,128,128,128,128,128,0.801006738653893,0.8150757023722776,0.8089022215015405,0
_fixed_all_128,2074,17,-5.334015607204225,4967553,0.7096504285714286,0.005757192410980704,128,128,128,128,128,128,128,128,0.8021810803956378,0.809016324114015,0.8062690098006083,0
_fixed_all_128,2074,18,-5.295782917062162,5130718,0.7329597142857143,0.005663015247989276,128,128,128,128,128,128,128,128,0.7976308813783963,0.8123907069697727,0.8014754641909815,0
_fixed_all_128,2074,19,-5.299696378636961,5130385,0.7329121428571429,0.005714650659718903,128,128,128,128,128,128,128,128,0.7981530343007915,0.8122274335555006,0.8026629407413496,0
_fixed_all_128,2074,20,-5.323390510325048,5121846,0.7316922857142857,0.005684443097820869,128,128,128,128,128,128,128,128,0.8017650487053535,0.8146917068306465,0.8055763628797337,0
_fixed_all_128,2074,21,-4.135153123997262,3171063,0.453009,0.02173997513211066,128,128,128,128,128,128,128,128,0.41894518250312823,0.49152000851992866,0.42936605099270775,0.4954336075831403
_fixed_all_128,2074,22,-0.3308512920909903,5053702,0.7219574285714285,0.0049869613959836225,128,128,128,128,128,128,128,128,0.0664583402961131,0.13942138953420352,0.0902207885544283,0.12502296988022252
_fixed_all_128,2074,23,-2.150480174403187,3993332,0.570476,0.012849126509736259,128,128,128,128,128,128,128,128,0.22522331374254737,0.3090824248080431,0.2507848294586798,0.30329190175200443
_fixed_all_128,2074,24,-2.4963209201391425,3804185.9999999995,0.5434551428571428,0.014367063619956169,128,128,128,128,128,128,128,128,0.25424332080172624,0.33459399332591766,0.28597490433389694,0.3410982067369733
_fixed_all_192,2078,1,-5.32257945052837,5402020,0.7717171428571429,0.005742749294556708,192,192,192,192,192,192,192,192,0,0.8193593970796044,0.801777707858098,0.816581532416503
_fixed_all_192,2078,2,-5.347657974303274,5383715,0.7691021428571428,0.005795080468178493,192,192,192,192,192,192,192,192,0,0.8226577812622501,0.8034831725111791,0.8205630930907379
_fixed_all_192,2078,3,-5.34529658453237,5355683,0.7650975714285714,0.005809524765883217,192,192,192,192,192,192,192,192,0,0.8209072359127295,0.8030839430414601,0.8201664834301869
_fixed_all_192,2078,4,-5.392141206829604,4766759,0.6809655714285714,0.005748926845568579,192,192,192,192,192,192,192,192,0,0.8138090166844161,0.8028231534090909,0.812610541209763
_fixed_all_192,2078,5,-5.338832484134243,5420081,0.7742972857142857,0.005813606948228883,192,192,192,192,192,192,192,192,0,0.8214922135275432,0.8024864024864025,0.8212732919254658
_fixed_all_192,2078,6,-5.2920005648098085,5262112,0.7517302857142857,0.00576568940884392,192,192,192,192,192,192,192,192,0.7991548397384787,0,0.8017543859649123,0.8165831145062465
_fixed_all_192,2078,7,-5.3109144336115195,5250518,0.750074,0.005718220487736379,192,192,192,192,192,192,192,192,0.801775625504439,0,0.8050614489003881,0.8175582990397805
_fixed_all_192,2078,8,-5.2780330820853045,5289083,0.7555832857142857,0.005711623011072858,192,192,192,192,192,192,192,192,0.7968426088343167,0,0.8004798080767693,0.8161241302087499
_fixed_all_192,2078,9,-5.3543382446875105,4864930,0.69499,0.0057867307983066225,192,192,192,192,192,192,192,192,0.798471578224283,0.00011173354596565717,0.804218682737839,0.8169293033669164
_fixed_all_192,2078,10,-5.482803701193154,4487494,0.6410705714285714,0.005810129357597018,192,192,192,192,192,192,192,192,0.8084525602409639,0,0.813216770069562,0.8278803787381644
_fixed_all_192,2078,11,-5.306612015407533,5365466,0.7664951428571428,0.005767187356795894,192,192,192,192,192,192,192,192,0.7938306578533207,0.8191289362368792,0,0.8162832692156708
_fixed_all_192,2078,12,-5.4669333616592475,4574243,0.6534632857142857,0.005752621889621438,192,192,192,192,192,192,192,192,0.80392704262051,0.8233541298072447,0,0.8208774865216583
_fixed_all_192,2078,13,-5.358714779991606,5159339,0.7370484285714286,0.005681648999523583,192,192,192,192,192,192,192,192,0.7998833624927102,0.8205042855954066,0,0.8179176353370973
_fixed_all_192,2078,14,-5.3125599172006925,5309792,0.7585417142857143,0.005732801955255616,192,192,192,192,192,192,192,192,0.7968575530387622,0.8159406414552417,0,0.8156424581005587
_fixed_all_192,2078,15,-5.311443374955052,5346554,0.7637934285714286,0.005717137133804757,192,192,192,192,192,192,192,192,0.7940639631775256,0.8187460216422661,0,0.8172847365908006
_fixed_all_192,2078,16,-5.657799166831678,3567872.0000000005,0.509696,0.006356986464968153,192,192,192,192,192,192,192,192,0.8041163946061036,0.8355823863636364,0.8138461538461539,0.013453131916777335
_fixed_all_192,2078,17,-5.5781978745923455,3498533,0.4997904285714286,0.005781425660483418,192,192,192,192,192,192,192,192,0.7977596493364179,0.823816495851635,0.8075329107752316,0.002086265302225585
_fixed_all_192,2078,18,-5.631592984343968,3340745,0.4772492857142857,0.0058283365214832255,192,192,192,192,192,192,192,192,0.8038765621015047,0.8259760142893595,0.8113303628262253,0.002353968806212109
_fixed_all_192,2078,19,-5.773033040400742,3028432,0.4326331428571429,0.006771716957505251,192,192,192,192,192,192,192,192,0.8044212897775275,0.8381086803105152,0.8146582100070472,0.0250782932080642
_fixed_all_192,2078,20,-5.559650938550597,3654382.0000000005,0.5220545714285715,0.00578727010336958,192,192,192,192,192,192,192,192,0.7988645579886455,0.8258954445346006,0.8068734089331173,0.00104879253530371
_fixed_all_192,2078,21,-4.145791050012026,4319516,0.6170737142857143,0.022577129384233674,192,192,192,192,192,192,192,192,0.45629189548359356,0.48649545942779027,0.46688030012896165,0.49547825067875073
